,city,cloudiness,humidity,lat,lon,temp_max,wind_speed
368,Beyneu,0,16,45.32,55.19,96.24,4.63
369,Loandjili,90,94,-4.77,11.87,73.4,3.36
370,LOS ALGARROBOS,88,100,-3.25,-79.94,67.26,2.51
371,Salinopolis,12,96,-0.61,-47.36,81.57,11.79
372,Necochea,0,100,-38.55,-58.74,34.23,12.46
373,Ust-Omchug,92,61,61.13,149.63,50.07,5.19
374,Kyshtovka,8,62,56.56,76.62,66.27,8.99
375,Sinegorye,64,40,62.09,150.53,53.67,2.51
376,Dharchula,92,100,29.85,80.53,52.32,0.72
377,Hofn,92,100,64.25,-15.21,42.33,8.43
378,Plettenberg Bay,88,100,-34.05,23.37,58.26,21.85
379,Luena,0,40,-11.78,19.91,74.1,4.97
380,Kirillov,24,60,59.86,38.38,71.85,7.99
381,Port Hardy,5,81,50.7,-127.42,51.8,5.82
382,Shingu,40,78,33.72,135.99,71.6,6.93
383,Santa Maria,0,68,-29.69,-53.81,23.25,3.06
384,Solhan,75,68,38.97,41.05,66.2,3.36
385,Trincomalee,76,62,8.58,81.23,88.23,20.74
386,Celle,0,64,52.62,10.08,73.4,8.05
387,Hami,0,18,42.84,93.51,100.47,6.08
388,Keflavik,90,93,64.0,-22.56,42.8,5.82
389,Guder,44,95,8.97,37.77,60.6,3.18
390,Severo-Yeniseyskiy,92,45,60.37,93.04,70.5,5.19
391,Orotukan,20,51,62.26,151.67,57.99,3.06
392,Vieques,20,78,18.43,-65.83,80.6,11.12
393,Rumoi,75,55,43.93,141.67,66.2,11.41
394,Klyuchi,64,48,52.25,79.17,76.62,11.68
395,San Quintin,75,70,17.54,120.52,87.8,11.41
396,Yar-Sale,20,88,66.83,70.83,42.6,14.03
397,Saint-Louis,0,68,47.59,7.56,69.8,3.36
398,Nkpor,48,91,6.15,6.84,82.29,8.55
399,Sibolga,36,77,1.74,98.78,80.67,2.39
400,Oranjemund,0,100,-28.55,16.43,58.35,10.11
401,Sol-Iletsk,64,56,51.16,55.0,67.8,9.78
402,Ilulissat,75,86,69.22,-51.1,33.8,3.36
403,Venezuela,0,100,21.74,-78.8,74.01,6.98
404,Bosaso,0,32,11.28,49.18,98.6,24.16
